Applicant Name,ESD Region,Type of Business,Track,Jobs When Certified,Net New Jobs Commitment,Investment Commitment,Research and Development Commitment,Maximum Tax Credits
"Bonduelle USA, Inc.",FL,Manufacturing,Jobs Track,340,22,"12,000,000.00",0.00,"700,000.00"
Brand Networks Midco LLC,FL,Software Dev,Jobs Track,78,75,0.00,0.00,"700,000.00"
"Caldwell Manufacturing North America, LLC",FL,Manufacturing,Investment Track,106,7,"1,835,000.00",0.00,"129,000.00"
"Calvary Design Team, Inc.",FL,Manufacturing,Jobs Track,138,151,0.00,0.00,"800,000.00"
"CFI Holdings Inc. dba Creative Food Ingredients, Inc.",FL,Manufacturing,Jobs Track,130,56,0.00,0.00,"500,000.00"
"Charter Communications, Inc. (FL)",FL,Back Office,Jobs Track,"11,296",228,"2,925,400.00",0.00,"2,500,000.00"
"Clearwater Organic Farms, LLC",FL,Agriculture,Jobs Track,0,137,0.00,0.00,"2,000,000.00"
CM&M Industries Inc. (FL),FL,Manufacturing,Jobs Track,0,268,"3,100,000.00",0.00,"1,250,000.00"
"Coast Professional, Inc. (1)",FL,Back Office,Investment Track,118,105,0.00,0.00,"500,000.00"
"Coast Professional, Inc. (2)",FL,Back Office,Jobs Track,263,80,0.00,0.00,"500,000.00"
"DAU Thermal Solutions North America, Inc.",FL,Manufacturing,Jobs Track,15,55,0.00,0.00,"475,000.00"
"eHealth Global Technologies, Inc. (1)",FL,Back Office,Investment Track,52,80,"3,000,000.00",0.00,"750,000.00"
"eHealth Global technologies, Inc. (2)",FL,Back Office,Jobs Track,215,160,0.00,0.00,"2,000,000.00"
"Elderlee, Inc.",FL,Manufacturing,Jobs Track,112,10,"1,668,000.00",0.00,"148,580.00"
"EPP Team, Inc.",FL,Manufacturing,Jobs Track,67,26,"2,500,000.00",0.00,"446,256.00"
"Flightline Electronics, Inc.",FL,Manufacturing,Jobs Track,198,80,0.00,0.00,"800,000.00"
Frontier Communications Corporation,FL,Back Office,Jobs Track,"2,407",350,0.00,0.00,"5,000,000.00"
Germanow-Simon Corporation,FL,Manufacturing,Investment Track,77,23,0.00,0.00,"250,000.00"
"Graphene Devices, LLC",FL,Manufacturing,Jobs Track,4,50,0.00,0.00,"400,000.00"
"Gray Metal Products, Inc.",FL,Manufacturing,Jobs Track,160,80,0.00,0.00,"900,000.00"
"Intergrow Greenhouses, Inc.",FL,Agriculture,Jobs Track,133,15,"14,972,813.00",0.00,"600,000.00"
Iron Smoke Whiskey LLC,FL,Manufacturing,Jobs Track,2,14,0.00,0.00,"100,000.00"
"iVEDiX, Inc.",FL,Software Dev,Jobs Track,9,58,0.00,0.00,"1,300,000.00"
JML Optical Industries LLC,FL,Manufacturing,Jobs Track,72,14,"1,000,000.00",0.00,"150,000.00"
"Klein Steel Service, Inc.",FL,Manufacturing,Jobs Track,190,50,0.00,0.00,"750,000.00"
"LiDestri Foods, Inc.",FL,Manufacturing,Jobs Track,700,29,0.00,0.00,"550,000.00"
Love Beets Production LLC,FL,Manufacturing,Jobs Track,0,140,0.00,0.00,"1,500,000.00"
Marquart Bros. LLC,FL,Manufacturing,Jobs Track,15,30,0.00,0.00,"500,000.00"
"Maximus Federal Services, Inc.",FL,Back Office,Jobs Track,516,308,"1,694,600.00",0.00,"2,000,000.00"
"McAlpin Industries, Inc.",FL,Manufacturing,Jobs Track,148,24,"5,850,000.00",0.00,"400,000.00"
Monty Acquisitions LLC (DBA Select Door),FL,Manufacturing,Jobs Track,37,31,0.00,0.00,"200,000.00"
Mott�s Limited Liability Partnership,FL,Manufacturing,Jobs Track,312,20,0.00,0.00,"300,000.00"
New Chem Inc.,FL,Manufacturing,Jobs Track,21,10,"4,120,000.00","850,000.00","300,000.00"
"Newstead Ranch, Inc.",FL,Agriculture,Jobs Track,168,25,0.00,0.00,"350,000.00"
"Newstead Ranch, Inc. (2)",FL,Agriculture,Jobs Track,221,55,"32,260,000.00",0.00,"1,250,000.00"
"North American Breweries, Inc.",FL,Manufacturing,Jobs Track,592,128,"37,100,000.00",0.00,"4,500,000.00"
OLEDWorks LLC (1),FL,Scientific R & D,Jobs Track,2,21,0.00,"7,820,000.00","319,556.00"
OLEDWorks LLC (2),FL,Manufacturing,Jobs Track,24,101,0.00,"12,000,000.00","2,500,000.00"
"Outdoor Group, LLC, The",FL,Manufacturing,Jobs Track,44,35,0.00,"750,000.00","900,000.00"
"PharmaSmart International, Inc.",FL,Manufacturing,Jobs Track,30,40,0.00,0.00,"250,000.00"
"Power & Construction Group, Inc.",FL,Manufacturing,Investment Track,210,2,"5,500,000.00",0.00,"150,000.00"
PPI Corp.,FL,Manufacturing,Investment Track,47,6,0.00,0.00,"100,000.00"
Pride Pak Inc.,FL,Manufacturing,Jobs Track,0,206,0.00,0.00,"2,000,000.00"
Pure Functional Foods,FL,Manufacturing,Jobs Track,2,31,0.00,0.00,"250,000.00"
"PW Minor, LLC",FL,Manufacturing,Jobs Track,73,117,"2,850,000.00",0.00,"2,199,505.00"
Qualitrol Corp.,FL,Manufacturing,Jobs Track,164,37,0.00,0.00,"586,800.00"
Ranger Design US Inc.,FL,Manufacturing,Jobs Track,5,62,0.00,0.00,"400,000.00"
"Richmond Group, The",FL,Manufacturing,Jobs Track,30,111,0.00,0.00,"450,000.00"
"Scepter New York, Inc.",FL,Manufacturing,Jobs Track,53,20,"4,061,655.00",0.00,"250,000.00"
"Second Avenue Software, Inc.",FL,Software Dev,Jobs Track,21,52,0.00,0.00,"874,120.00"
Seisenbacher Inc.,FL,Manufacturing,Jobs Track,0,59,0.00,0.00,"600,000.00"
"Semrock, Inc.",FL,Manufacturing,Investment Track,118,21,0.00,0.00,"400,000.00"
Sierra Biological Inc.,FL,Agriculture,Jobs Track,0,8,"228,000.00","270,000.00","181,239.00"
"Surmotech, LLC",FL,Manufacturing,Jobs Track,42,10,"550,000.00",0.00,"100,000.00"
"Sutherland Global Services, Inc. (1)",FL,Back Office,Jobs Track,"3,035",800,0.00,0.00,"1,600,000.00"
Syntec Technologies Inc.,FL,Manufacturing,Jobs Track,127,121,0.00,0.00,"2,000,000.00"
The Scotts Miracle-Gro Company,FL,Manufacturing,Jobs Track,77,20,"12,020,000.00",0.00,"350,000.00"
United States Gypsum Company,FL,Manufacturing,Jobs Track,108,12,"18,342,200.00",0.00,"665,230.00"
Unither US Corp.,FL,Manufacturing,Jobs Track,262,22,0.00,0.00,"542,666.00"
"Upstate Door, Inc.",FL,Manufacturing,Jobs Track,65,25,"2,860,000.00",0.00,"400,000.00"
"VanDamme Associates, Inc. dba NimbleUser",FL,Back Office,Investment Track,33,37,0.00,0.00,"1,000,000.00"
WNY Enterprise LLC,FL,Manufacturing,Jobs Track,0,11,0.00,0.00,"150,000.00"
Xerox Commercial Solutions LLC,FL,Back Office,Jobs Track,70,500,"1,900,000.00",0.00,"5,000,000.00"
"Z-Axis, Inc.",FL,Manufacturing,Jobs Track,63,15,0.00,0.00,"250,000.00"
A & Z Pharmaceutical Inc.,LI,Manufacturing,Jobs Track,56,112,0.00,0.00,"1,500,000.00"
"Abel & Schafer, Inc.",LI,Manufacturing,Jobs Track,80,25,0.00,0.00,"200,000.00"
Absara Audio LLC,LI,Manufacturing,Jobs Track,6,17,0.00,0.00,"225,000.00"
Air Stream Corp.,LI,Distribution,Jobs Track,210,84,0.00,0.00,"1,000,000.00"
Aircraft Lighting International,LI,Manufacturing,Jobs Track,6,20,"2,150,000.00",0.00,"240,000.00"
"AJES Pharmaceuticals, LLC",LI,Manufacturing,Jobs Track,17,25,"3,050,000.00",0.00,"250,000.00"
AL Energy Solutions LED LLC,LI,Manufacturing,Jobs Track,0,138,0.00,0.00,"1,143,500.00"
"Alpine Overhead Doors, Inc.",LI,Manufacturing,Jobs Track,26,10,0.00,0.00,"100,000.00"
"American Racing Headers and Exhaust, Inc.",LI,Manufacturing,Jobs Track,35,20,0.00,0.00,"350,000.00"
Angion Biomedica Corporation,LI,Scientific R & D,Jobs Track,30,20,0.00,0.00,"850,000.00"
"Anna Young Associates, Ltd. DBA Lombardi Design & Manufacturing",LI,Manufacturing,Jobs Track,122,90,0.00,"8,652,000.00","600,000.00"
"Applied DNA Sciences, Inc.",LI,Scientific R & D,Jobs Track,34,25,"866,000.00",0.00,"229,957.00"
"Autronics Plastics, Inc.",LI,Manufacturing,Jobs Track,87,30,"4,000,000.00",0.00,"600,000.00"
AVA Pork Products,LI,Distribution,Investment Track,275,125,0.00,0.00,"500,000.00"
"Avery Biomedical Devices, Inc.",LI,Manufacturing,Jobs Track,14,10,"379,400.00",0.00,"195,070.00"
Bactolac Pharmaceutical Inc.,LI,Manufacturing,Jobs Track,355,300,0.00,0.00,"3,000,000.00"
Bagels by Bell LTD,LI,Manufacturing,Jobs Track,47,30,0.00,0.00,"400,000.00"
"Best Yet Market, Inc.",LI,Distribution,Jobs Track,"2,077",125,0.00,0.00,"1,000,000.00"
Big Apple Sign Corp.,LI,Manufacturing,Jobs Track,95,15,"5,000,000.00","600,000.00","590,220.00"
"BioRestorative Therapies, Inc.",LI,Scientific R & D,Jobs Track,0,15,0.00,0.00,"500,000.00"
"C & S Wholesale Grocers, Inc.",LI,Distribution,Jobs Track,"2,000",275,0.00,0.00,"2,500,000.00"
"Carson Optical, Inc.",LI,Scientific R & D,Jobs Track,25,15,0.00,0.00,"100,000.00"
"Century Direct, LLC",LI,Manufacturing,Jobs Track,312,75,0.00,0.00,"1,000,000.00"
"Check-Mate International Products, Inc.",LI,Manufacturing,Jobs Track,204,35,0.00,0.00,"1,100,000.00"
"Chembio Diagnostic Systems, Inc.",LI,Manufacturing,Jobs Track,170,25,0.00,0.00,"610,416.00"
"Citation Business Forms, Inc. dba Citation Clinical Labeling Systems",LI,Manufacturing,Jobs Track,57,21,"2,625,000.00",0.00,"500,000.00"
"Clever Devices, Inc.",LI,Manufacturing,Jobs Track,125,42,0.00,0.00,"1,000,000.00"
Comtech Telecommunications Corp.,LI,Manufacturing,Jobs Track,114,25,0.00,0.00,"500,000.00"
Contract Pharmacal Corp.  (2),LI,Manufacturing,Jobs Track,900,200,0.00,0.00,"2,150,000.00"
Contract Pharmacal Corp. (1),LI,Manufacturing,Jobs Track,453,54,"10,000,000.00","10,000,000.00","750,000.00"
"Cox & Company, Inc.",LI,Manufacturing,Jobs Track,180,29,"1,135,000.00",0.00,"267,154.00"
"CPI Aerostructures, Inc.",LI,Manufacturing,Jobs Track,142,80,"1,269,000.00",0.00,"900,000.00"
"D'Addario & Company, Inc.  (RC5)",LI,Manufacturing,Jobs Track,837,27,0.00,0.00,"500,000.00"
"D'Addario & Company, Inc. (RC1)",LI,Manufacturing,Jobs Track,761,50,"9,000,000.00","13,500,000.00","1,865,118.00"
Dealertrack Technologies (2),LI,Software Dev,Jobs Track,535,357,"10,000,000.00",0.00,"10,500,000.00"
"EB Industries, LLC",LI,Manufacturing,Jobs Track,21,19,0.00,0.00,"144,139.00"
Energy Efficient Solutions,LI,Manufacturing,Jobs Track,3,84,0.00,0.00,"300,000.00"
"Entourage Commerce, LLC",LI,Distribution,Jobs Track,250,175,0.00,0.00,"900,000.00"
"Equicycle, LLC",LI,Agriculture,Jobs Track,7,19,0.00,0.00,"320,000.00"
Evans and Paul LLC,LI,Manufacturing,Jobs Track,45,100,"1,100,000.00",0.00,"625,000.00"
Exergy LLC,LI,Manufacturing,Jobs Track,29,11,0.00,0.00,"210,000.00"
Festo Corporation,LI,Manufacturing,Jobs Track,172,25,0.00,0.00,"465,940.00"
Framerica Corp.,LI,Manufacturing,Jobs Track,215,50,"2,350,000.00",0.00,"605,300.00"
"Gemini Fund Services, LLC",LI,Financial Svc,Investment Track,80,40,"700,000.00",0.00,"750,000.00"
"Graphic Image, Inc.",LI,Manufacturing,Jobs Track,127,34,"219,900.00",0.00,"260,000.00"
Haig Graphics,LI,Manufacturing,Jobs Track,39,10,0.00,0.00,"99,000.00"
"Hain Celestial Group, Inc., The",LI,Back Office,Investment Track,250,122,"3,500,000.00",0.00,"4,500,000.00"
"Healthplex, Inc.",LI,Financial Svc,Jobs Track,374,180,"1,290,000.00","950,000.00","1,200,000.00"
"Invagen Pharmaceuticals, Inc.",LI,Manufacturing,Jobs Track,330,330,"700,000.00",0.00,"1,800,000.00"
"J & K Electronics, Inc. dba M3 Technology",LI,Distribution,Investment Track,40,27,"425,000.00",0.00,"240,373.00"
"Kangadis Foods, Inc. dba Gourmet Factory",LI,Manufacturing,Jobs Track,58,23,0.00,0.00,"300,000.00"
"Karp Associates, Inc.",LI,Manufacturing,Investment Track,108,0,"17,250,000.00",0.00,"345,000.00"
"Kedrion Biopharma, Inc.",LI,Manufacturing,Jobs Track,150,30,"22,263,849.00",0.00,"1,500,000.00"
"Kitchen Table Bakers, Inc.",LI,Manufacturing,Jobs Track,5,61,0.00,0.00,"500,000.00"
"L&S Packing Company,  Incorporated",LI,Manufacturing,Jobs Track,73,15,0.00,0.00,"200,000.00"
"L-3 Technologies, Inc.",LI,Manufacturing,Jobs Track,962,25,"10,800,000.00","12,640,000.00","1,000,000.00"
